행정구역,위도,경도
서울특별시 종로구,37.5949,126.9773
서울특별시 중구,37.5601,126.9959
서울특별시 용산구,37.5313,126.9799
서울특별시 성동구,37.551,127.041
서울특별시 광진구,37.5467,127.0857
서울특별시 동대문구,37.5821,127.0549
서울특별시 중랑구,37.5978,127.0929
서울특별시 성북구,37.6057,127.0174
서울특별시 강북구,37.6434,127.0112
서울특별시 도봉구,37.6691,127.0324
서울특별시 노원구,37.6524,127.075
서울특별시 은평구,37.6192,126.927
서울특별시 서대문구,37.5778,126.9391
서울특별시 마포구,37.5593,126.9083
서울특별시 양천구,37.5248,126.8555
서울특별시 강서구,37.5613,126.8227
서울특별시 구로구,37.4945,126.8565
서울특별시 금천구,37.4606,126.9008
서울특별시 영등포구,37.5223,126.9101
서울특별시 동작구,37.4989,126.9518
서울특별시 관악구,37.4673,126.9454
서울특별시 서초구,37.4733,127.0313
서울특별시 강남구,37.4967,127.0629
서울특별시 송파구,37.5056,127.1153
서울특별시 강동구,37.5504,127.147
부산광역시 중구,35.1054,129.0321
광주광역시 서구,35.1027,129.015
부산광역시 동구,35.1283,129.0448
부산광역시 영도구,35.0787,129.0648
부산광역시 부산진구,35.1653,129.0431
부산광역시 동래구,35.2062,129.0791
부산광역시 남구,35.1254,129.0944
부산광역시 북구,35.2293,129.0234
부산광역시 해운대구,35.1937,129.1536
부산광역시 사하구,35.0861,128.9704
부산광역시 금정구,35.2589,129.0915
부산광역시 강서구,35.1368,128.8914
부산광역시 연제구,35.1824,129.083
부산광역시 수영구,35.1612,129.1114
부산광역시 사상구,35.158,128.9866
부산광역시 기장군,35.2979,129.201
대구광역시 중구,35.8665,128.5935
대구광역시 동구,35.9345,128.6857
대구광역시 서구,35.8751,128.5497
대구광역시 남구,35.8351,128.5853
대구광역시 북구,35.9289,128.5774
대구광역시 수성구,35.8338,128.6612
대구광역시 달서구,35.8277,128.5289
대구광역시 달성군,35.7597,128.4983
인천광역시 중구,37.4686,126.4822
인천광역시 동구,37.4833,126.6391
인천광역시 미추홀구,37.4525,126.6646
인천광역시 연수구,37.3945,126.6481
인천광역시 남동구,37.4309,126.7265
인천광역시 부평구,37.4966,126.7211
인천광역시 계양구,37.5573,126.7346
인천광역시 서구,37.5596,126.6517
인천광역시 강화군,37.7125,126.4023
인천광역시 옹진군,37.5227,125.6669
광주광역시 동구,35.1174,126.9495
광주광역시 서구,35.1356,126.8505
광주광역시 남구,35.0941,126.8569
광주광역시 북구,35.1933,126.9254
광주광역시 광산구,35.1651,126.7529
대전광역시 동구,36.324,127.4751
대전광역시 중구,36.2808,127.4111
대전광역시 서구,36.2804,127.3452
대전광역시 유성구,36.3767,127.3333
대전광역시 대덕구,36.4123,127.4401
울산광역시 중구,35.5711,129.3082
울산광역시 남구,35.5155,129.3293
울산광역시 동구,35.5254,129.4262
울산광역시 북구,35.6101,129.3799
울산광역시 울주군,35.5462,129.1875
세종특별자치시,36.5606,127.2588
경기도 수원시 장안구,37.314,127.0034
경기도 수원시 권선구,37.2605,126.9797
경기도 수원시 팔달구,37.2775,127.0164
경기도 수원시 영통구,37.2749,127.0567
경기도 성남시 수정구,37.4353,127.1042
경기도 성남시 중원구,37.4335,127.164
경기도 성남시 분당구,37.3794,127.106
경기도 의정부시,37.7362,127.0684
경기도 안양시 만안구,37.4041,126.9113
경기도 안양시 동안구,37.4003,126.9554
경기도 부천시,37.5042,126.7887
경기도 광명시,37.4452,126.8647
경기도 평택시,37.0154,126.9935
경기도 동두천시,37.9165,127.0779
경기도 안산시 상록구,37.3157,126.8706
경기도 안산시 단원구,37.2779,126.6833
경기도 고양시 덕양구,37.6557,126.8786
경기도 고양시 일산동구,37.6798,126.7973
경기도 고양시 일산서구,37.6803,126.7278
경기도 과천시,37.4339,127.0027
경기도 구리시,37.5992,127.1312
경기도 남양주시,37.6625,127.2436
경기도 오산시,37.1633,127.0512
경기도 시흥시,37.3861,126.7836
경기도 군포시,37.3435,126.9212
경기도 의왕시,37.3623,126.9895
경기도 하남시,37.5228,127.2059
경기도 용인시 처인구,37.2033,127.2529
경기도 용인시 기흥구,37.2675,127.1213
경기도 용인시 수지구,37.3335,127.0715
경기도 파주시,37.8555,126.8096
경기도 이천시,37.2099,127.4809
경기도 안성시,37.035,127.3028
경기도 김포시,37.6816,126.6263
경기도 화성시,37.1676,126.8688
경기도 광주시,37.4031,127.3012
경기도 양주시,37.8086,127.0012
경기도 포천시,37.9699,127.2504
경기도 여주시,37.3025,127.6157
경기도 연천군,38.0971,127.0239
경기도 가평군,37.8186,127.4502
경기도 양평군,37.518,127.5792
강원도 춘천시,37.8899,127.74
강원도 원주시,37.3083,127.9295
강원도 강릉시,37.7092,128.8324
강원도 동해시,37.5069,129.0558
강원도 태백시,37.1724,128.9801
강원도 속초시,38.1761,128.5196
강원도 삼척시,37.2775,129.122
강원도 홍천군,37.7449,128.0745
강원도 횡성군,37.509,128.0771
강원도 영월군,37.204,128.5001
강원도 평창군,37.557,128.4828
강원도 정선군,37.3788,128.739
강원도 철원군,38.2438,127.4135
강원도 화천군,38.1384,127.6852
강원도 양구군,38.1781,128.0012
강원도 인제군,38.069,128.2633
강원도 고성군,38.3774,128.3998
강원도 양양군,38.0046,128.5953
충청북도 충주시,37.0152,127.8956
충청북도 제천시,37.06,128.1409
충청북도 청주시 상당구,36.5922,127.585
충청북도 청주시 서원구,36.5476,127.4386
충청북도 청주시 흥덕구,36.647,127.3692
충청북도 청주시 청원구,36.7206,127.4913
충청북도 보은군,36.49,127.7294
충청북도 옥천군,36.3204,127.6566
충청북도 영동군,36.1597,127.8143
충청북도 진천군,36.871,127.4404
충청북도 괴산군,36.7697,127.8296
충청북도 음성군,36.9762,127.6142
충청북도 단양군,36.9945,128.3879
충청북도 증평군,36.7866,127.6046
충청남도 천안시 동남구,36.7641,127.221
충청남도 천안시 서북구,36.8927,127.1617
충청남도 공주시,36.4799,127.075
충청남도 보령시,36.3398,126.5905
충청남도 아산시,36.8074,126.9801
충청남도 서산시,36.7847,126.4632
충청남도 논산시,36.1909,127.1578
충청남도 계룡시,36.2917,127.2345
충청남도 당진시,36.9045,126.6521
충청남도 금산군,36.119,127.4784
충청남도 부여군,36.2464,126.857
충청남도 서천군,36.1068,126.7037
충청남도 청양군,36.4306,126.853
충청남도 홍성군,36.5701,126.6257
충청남도 예산군,36.6706,126.7842
충청남도 태안군,36.7074,126.2792
전라북도 전주시 완산구,35.7921,127.1196
전라북도 전주시 덕진구,35.8588,127.1126
전라북도 군산시,35.9488,126.7186
전라북도 익산시,36.0232,126.9895
전라북도 정읍시,35.6027,126.9059
전라북도 남원시,35.4225,127.442
전라북도 김제시,35.8069,126.8961
전라북도 완주군,35.9188,127.2152
전라북도 진안군,35.8289,127.4301
전라북도 무주군,35.9394,127.713
전라북도 장수군,35.6576,127.5444
전라북도 임실군,35.5982,127.2366
전라북도 순창군,35.4336,127.0901
전라북도 고창군,35.4491,126.6158
전라북도 부안군,35.6776,126.6422
